"나/ECE","26"
"스타워즈/NNG","1"
"열/VV","64"
"제/XPN","26"
"발/NNG","28"
"제발/MAG","125"
"몇/MDT","123"
"달/NNG","64"
"째이/VV","2"
"！/SW","1"
"시꺼멓/VA","1"
"짜증나/VV","44"
"짓/NNG","8"
"다하/VV","6"
"다/ECS","188"
"남기/VV","16"
"돈/NNG","258"
"아깝/VV","2"
"이젠/NNP","9"
"빠이빠/UN","1"
"이/NNG","27"
"한/MDN","62"
"개/NNM","68"
"알/VV","93"
"줄/NNB","24"
"으면/ECD","221"
"1/NR","161"
"시리즈/NNG","66"
"장르/NNG","15"
"선택/NNG","45"
"세부/NNG","2"
"음/ETN","216"
"2/NR","200"
"듣/VV","179"
"갈/VV","33"
"ㄴ다고/ECE","30"
"한들/MAG","1"
"찾/VV","59"
"으라/EFO","4"
"고/JKQ","18"
"ㄴ지/ECS","66"
"아/NNG","8"
"님/XSN","22"
"그냥/MAG","71"
"대로/NNB","4"
"보라/NNG","3"
"모르/VV","84"
"3/NR","164"
"다르/VV","28"
"어플들/UN","1"
"은/JX","374"
"세부적/NNG","3"
"추천/NNG","28"
"편하/VA","32"
"ㄴ데/ECE","185"
"건/ECE","26"
"무슨/MDT","41"
"말/NNG","54"
"인질/NNG","1"
"모/NNG","6"
"른/UN","1"
"솔직히/MAG","11"
"개발자/NNG","9"
"는/JX","576"
"본인/NNG","6"
"많들/UN","1"
"놓/VXV","44"
"이/MDT","79"
"관심/NNG","4"
"같/VA","277"
"이/JKC","69"
"아니/VCN","85"
"라/ECD","99"
"사용자/NNG","30"
"맞/VV","42"
"요망/NNG","2"
"듯/NNB","40"
"오프라인/NNG","2"
"저장/NNG","45"
"만/JX","495"
"경우/NNG","43"
"연결/NNG","54"
"있음/NNG","41"
"다음/NNG","43"
"화로/NNG","2"
"넘기/VV","12"
"버튼/NNG","44"
"나가/VV","23"
"서/ECD","49"
"회/NNG","14"
"차/NNG","17"
"보기/NNG","41"
"화/NNG","22"
"안드로이드/NNG","38"
"이번/NNG","22"
"론/XSN","2"
"데/MAG","4"
"바탕/NNG","11"
"거지/NNG","16"
"거슬리/VV","22"
"심심/XR","10"
"시간/NNG","58"
"좋/VV","44"
"거/NNB","409"
"는/JKS","41"
"한데/NNG","15"
"볼만/NNG","21"
"영화/NNG","384"
"나/JC","68"
"만화/NNG","33"
"그런/MDT","12"
"팝업/NNG","20"
"현상/NNG","21"
"자주/MAG","24"
"일어나/VV","7"
"확률/NNG","2"
"적/XSN","7"
"90/NR","1"
"나/VV","64"
"비싸/VA","38"
"비용/NNG","7"
"지불/NNG","3"
"구독/NNG","18"
"ㄹ지/ECD","34"
"의문/NNG","1"
"있었/VV","6"
"유/NNG","11"
"들어오/VV","31"
"램/NNG","1"
"덩크/UN","1"
"감사/NNG","54"
"고맙/VA","1"
"화이팅/IC","3"
"화질/NNG","245"
"왠/MDT","2"
"만하/VV","1"
"녹화/NNG","1"
"캡/NNG","4"
"치/VV","39"
"못하/VX","83"
"조/VV","4"
"상/NNG","4"
"우측/NNG","1"
"볼륨/NNG","5"
"키/NNG","6"
"달라/VV","7"
"좌측/NNG","1"
"밝기/NNG","52"
"다/EFN","116"
"만들/VV","116"
"수준/NNG","4"
"그리하/VV","43"
"여/ECD","6"
"좌/NNG","2"
"우/NNG","10"
"밀/VV","3"
"감기/NNG","4"
"와/JKM","23"
"되감/VV","1"
"라/NNG","51"
"리뷰/NNG","40"
"공간/NNG","6"
"모두/MAG","6"
"탈퇴/NNG","16"
"ㄴ다/EFN","28"
"적/VA","23"
"포켓몬스터/NNP","14"
"을/ETD","138"
"어떻/VA","77"
"분명히/MAG","3"
"배/NNG","17"
"경색/NNG","4"
"지우/VV","93"
"다시/MAG","253"
"깔/VV","146"
"로그/NNG","30"
"아웃/NNG","21"
"반복/NNG","25"
"자체/NNG","41"
"별/XSN","5"
"어도/ECD","214"
"가리/VV","30"
"으니/ECD","18"
"계정/NNG","64"
"튕기/VV","37"
"려는/ETD","25"
"데/NNB","90"
"걸/VV","18"
"장난/NNG","22"
"자고/ECD","23"
"ㅂ니까/EFQ","77"
"운영자/NNG","2"
"하우스/NNG","1"
"오브/NNG","2"
"드래곤/NNG","5"
"오르/VV","155"
"드리/VV","84"
"걍/MAG","7"
"사용/NNG","151"
"어제/NNG","29"
"ㄴ/JX","6"
"자마자/ECE","9"
"ㄹ까요/EFQ","38"
"후/NNG","101"
"생기/VV","91"
"마/VV","18"
"이틀/NNG","8"
"째/XSN","63"
"이상한/NNG","1"
"바/NNG","18"
"새기/VV","1"
"이렇/VV","6"
"결제/NNG","239"
"이미/MAG","17"
"및/MAG","14"
"멤버쉽/NNG","14"
"진행/NNG","10"
"완료/NNG","11"
"라면서/ECE","3"
"이용/NNG","66"
"못하/VA","13"
"조치/NNG","26"
"한국말/NNG","2"
"고/XSN","5"
"개뿔/NNG","1"
"내/VV","91"
"ㄴ데/ECD","34"
"끊기/VV","52"
"지금/NNG","69"
"지하/NNG","1"
"라는/ETD","86"
"소/NNG","13"
"리죠/UN","2"
"챗봇/NNG","1"
"상담/NNG","13"
"괜찮/VA","33"
"이후/NNG","62"
"오류/NNG","195"
"발생/NNG","21"
"8.39/NR","1"
"크래시/NNG","2"
"나/NP","117"
"서/JKM","78"
"그/NP","2"
"시즌/NNG","109"
"올라가/VV","8"
"전/MDT","5"
"그것/NP","21"
"요/JX","174"
"아/VV","71"
"그리/VV","23"
"오소마츠상/NNP","3"
"기/NNM","79"
"살리/VV","8"
"싶/VXA","173"
"키/VV","67"
"로고/NNG","57"
"언제쯤/NNG","2"
"려나/EFQ","1"
"실행/NNG","150"
"자동/NNG","47"
"종료/NNG","19"
"빠르/VA","64"
"확인/NNG","50"
"필요/NNG","21"
"사용시/NNG","2"
"칸/NNG","4"
"업그레이드/NNG","5"
"옆/NNG","5"
"그레이드/NNG","3"
"아니/VV","95"
"가/JKC","54"
"어/EFN","12"
"일본어/NNG","11"
"자라/NNG","2"
"은/JKS","43"
"어쩌/VV","47"
"그/MDT","68"
"부분/NNG","48"
"최소화/NNG","2"
"시인/NNG","1"
"성/XSN","4"
"떨어지/VV","21"
"크기/NNG","19"
"조절/NNG","44"
"ㄴ가/ECS","43"
"12/NR","13"
"년/NNM","26"
"전/NNG","107"
"최초/NNG","2"
"동영상/NNG","11"
"리/NNG","17"
"케이/NNG","1"
"션/UN","1"
"정도/NNG","33"
"야/EFN","6"
"콘텐츠/NNG","56"
"사/VV","20"
"아서요/ECD","3"
"작년/NNG","3"
"올해/NNG","2"
"초심/NNG","6"
"잃/VV","10"
"가/VXV","2"
"일루/NNG","1"
"미/XPN","2"
"네이션/NNG","1"
"애니는/UN","1"
"커녕/JX","4"
"비의/NNG","1"
"엄지/NNG","1"
"공주/NNG","1"
"땋/VV","8"
"새롭/VA","8"
"컨텐츠/NNG","87"
"기대/NNG","6"
"가지/VV","15"
"말/VV","29"
"아/ECD","136"
"진입/NNG","2"
"티비/NNG","48"
"열/NR","1"
"번/NNB","42"
"넘/VV","118"
"버퍼링/NNG","33"
"심하/VA","27"
"혹시/MAG","18"
"시/VV","9"
"일/NNG","74"
"버그/NNG","21"
"다고/EFN","60"
"안내문/NNG","1"
"하루/NNG","23"
"종일/NNG","7"
"정작/NNG","2"
"새/NNG","21"
"롭/XSA","19"
"어떡/NNG","3"
