"자막자막자막！！！！！！시꺼먼배경","-0.9746872822446697","0.7069075943159584"
"짜증나서못보겠네진짜","-0.4788059068999532","0.18335441422074722"
"안줄있으면좋겠는이유","-0.28529934792699496","0.13188683194144785"
"나와있는데로보라고하는건질","-0.5077993902646472","0.4752900671024756"
"관심이없는것같습니다.","-0.38827524945475733","0.4197591253065132"
"어플에관심이없는듯한것같네요","-0.7594019557388036","0.6651085359865708"
"아니.업데이트했는데","-0.5054534362485695","-0.05841887184333662"
"업데이트하지마세요.","-0.08447603746749514","0.34937809274859133"
"안되냐?업그레이드를","-0.5716544560510392","-0.041506304492176224"
"BACKGROUND.","-0.5666180870429741","0.5171996184162299"
"NUMBERBLOCKS가","-0.3773751847217302","0.3604139332031871"
"멈춰있어요.왜이런건가요?","-0.19666648342112883","-0.07594923464629766"
"3RD6GFGWWR6","-0.24610895793861742","0.06132410361467729"
"3E24TVVVVVVV","0.46064420147999563","0.6553884982360344"
"갑자기왜그러는걸까요?","-0.5658759967123012","0.28376164941160414"
"느려졌어요.왜이럴까요","-0.19225838938326764","-0.0052848037624528945"
"못보았던드라마도볼수있어서좋앟어요","-0.1775094591097471","0.6003133509294271"
"팅깁니까?몇분단위로","-0.4300091049707956","-0.06308250241383341"
"넷플릭스를10년차깔고있는유저입니다제가어떨때실수로","-0.4443195581144544","0.4602414972495954"
"이메일그런것들이기억이안나더라구요","-0.44202217774643915","0.4733777231649066"
"그래서불편감이있습니다","-0.2242957398115283","-0.004180362076889659"
"슈퍼맨이돌아왔다를추가해줬으면좋겠어요","-0.434859422705713","0.46232590829819803"
"가입할수있게해주세용","-0.3290468642359285","0.057988907682573546"
"마계학교이루마군시즌2","-0.44469101810411216","0.2934829062682693"
"FFFS6TEHY6UD","-0.760970698565765","0.902059794587385"
"623YS5RWR88","-0.45855577842579687","0.30072978529621985"
"좋은점이라고생각하는게","-0.26670858358159294","0.11298715977496544"
"걷어차지안길바랍니다","-0.35873848631181454","0.31976810859899635"
"있게해주세요.모바일로","-0.2242398838830184","-0.07588779949375934"
"난이제기댈곳조차업서.","-0.5364799269121127","-0.0513115942553399"
"선택할수있게해주세요","-0.2830453932673873","-0.09341988896707758"
"オソマツ賞1期をもう一度見たい","-0.3330634857254815","0.28114537323696215"
"정말보고싶어하던영화가있어서","-0.31658778075945454","0.1315665933081023"
"안내고도.할수있으면","-0.27001780801261827","-0.04788379698429398"
"다시원래대로돌려주세요","-0.5263079965174469","0.27424529585179874"
"동영상재생이바로가능하지않다고","-0.673741886687834","0.31957136739719205"
"다른동영상을선택해달라고뜨고","-0.8426054260689975","0.3935624104737288"
"아무것도재생되지않고","-0.7262046463296074","0.34294581083011794"
"이딴걸요즘시국어려운뎅","-0.45814986945033276","0.6875842097857928"
"볼만한예능이나넣어주세요","-0.5855133995132137","0.2313565628691989"
"제가얘기한건넣지두않았네요","-0.6847109613462492","0.42025438651965596"
"다른예능들좀보게해주세요","-0.7223702590433753","0.60920438064513"
"다른프로그램들좀보게해달라는얘기한게그렇게어려운건가요","-0.36836894890610716","0.16439271939890884"
"런닝맨두볼수있게해주고","-0.264162277449239","0.5589936312632402"
"골목식당두좀보게해주시지","-0.5734895025154116","0.6483295083353624"
"제가안보는것만있네요","-0.47231474927045497","0.01935003014953391"
"제가안보는것만올려놓으시구","-0.499825382575786","0.4246151577465593"
"사람마다시청하는게다른데","-0.4967375131983934","0.37671114868184147"
"펜트하우스도볼수있게좀해주시고","-0.38537607394501555","0.3268016071564003"
"제가안보는것만거의있어서","-0.6685712048074623","0.19551524762274494"
"폭넓게좀볼수있게좀해주세요","-0.41337357693893395","0.2838143393269285"
"다른것두많이볼수있게해쥬세용","-0.12439527375345817","0.3398187828549184"
"다른드라마들도볼수있게해주세요","-0.04727166439248196","0.3720673824745593"
"강요해서.별로네요.","-0.24540094690266775","-0.20116198659512052"
"자기잘못은없단식으로","-0.5867185166235818","0.19308620763961848"
"슬라임이었던건에대하여","-0.4777196846741911","0.03933887856853906"
"1기도있고OVA도보이는데2기가","-0.5439373669489752","0.627794379940314"
"시간가는줄몰라눈총받아요","-0.22291018338030938","0.7348515212979476"
"가능하네요?평상시에","-0.27972301157459284","-0.02233446490036531"
"어디갔나요?해지했다가","-0.24449839201592669","-0.03157086271096759"
"다양한영화을볼수있어요","-0.744291506835944","0.0488770502656951"
"자꾸가끔안들어가지나요","-0.7544665986690969","0.6289738971637909"
"NETFLIX나오고","-0.3675214988373894","0.766237468174256"
"즐거운날을보내고있어요","-0.5892602640395403","0.25109938834528234"
"우째알아묵어요.환장하겄네.","-0.22569149639212208","0.6182389637342331"
"뭔말인지몰르겠어서요","-0.7545387207652935","0.08050229865726903"
"행복하게잘보고이쏘요","-0.47790943188540624","0.34504616364298846"
"수퍼소닉2가왜없서요","-0.3354637550512143","0.07309792203545037"
"인것인가요?지금우리학교랑오징어게임","-0.25381725550580136","0.4237268624541949"
"넷플릭스2년사용중인","-0.3298087535341073","-0.042692587613301546"
"17000원결제하고","0.08110431101170809","0.7670736176087211"
"로스트인스페이스영화","-0.6590033387031498","0.45264063630691814"
"조절해서볼수있으면좋을것같아요","-0.30296318761641206","0.43699848896824556"
"볼거리도많고다양할거같아서","-0.5739440256511661","0.47283416122954497"
"넷플릭스시청하고싶어서","-0.48572149554246014","0.0032546474798676524"
"플랫폼이지만.하따야지.","-0.32763802928237823","0.7041427165268904"
"볼게읍다.인기있는거","-0.18521645166196327","-0.13384966576641766"
"넣어놓고.간혹가다가","-0.30380137869102186","-0.023441789217776083"
