"진짜/NNG","211"
"자막/NNG","2659"
"뒤/NNG","282"
"검정/NNG","89"
"화면/NNG","2367"
"없애줘/UN","3"
"요/JX","1315"
"정말/MAG","577"
"너무/MAG","2125"
"불편/NNG","887"
"하/XSV","13593"
"어요/EFN","4590"
"이것/NP","442"
"이/JKS","10750"
"뭔/MDT","248"
"가요/NNG","257"
"하나같이/MAG","3"
"다/MAG","1757"
"업데이트/NNG","1080"
"하면/NNP","226"
"이상/NNG","362"
"짘/UN","3"
"짜/VV","42"
"갤럭시/NNG","454"
"폴드/UN","25"
"4/NR","429"
"에서/JKM","2311"
"한국/NNG","393"
"드라마/NNG","993"
"한글/NNG","252"
"끄/VV","354"
"기/ETN","1274"
"없/VA","4134"
"어서/ECD","3043"
"강제/NNG","74"
"로/JKM","3137"
"보/VV","6656"
"아야/ECD","280"
"되/VV","4007"
"ㅁ/ETN","1866"
"참/MAG","110"
"좋/VA","4307"
"아요/EFN","2160"
"./SF","18610"
"모든/NNP","64"
"게/NNG","57"
"잘/MAG","1396"
"고/ECE","12118"
"노트/NNG","373"
"7/NR","226"
"FE/OL","11"
"았/EPT","1610"
"는데/ECD","6133"
"갑자기/MAG","1008"
"오늘/NNG","298"
"기기/NNG","255"
"에/JKM","5315"
"호환/NNG","41"
"되/XSV","2257"
"지/ECD","2269"
"않/VXV","1427"
"습니다/EFN","2383"
"라고/JKQ","39"
"문구/NNG","43"
"가/JKS","5537"
"뜨/VV","1939"
"면서/ECE","465"
"아무것/NNG","95"
"도/JX","6565"
"안되/VA","1934"
"네요/EFN","5234"
"저/NP","1067"
"의/JKG","1364"
"거하/VV","14"
"었/EPT","6004"
"다가/ECD","1040"
"재/XPN","417"
"설치/NNG","561"
"할려/UN","58"
"이/VCP","8183"
"하/VX","99"
"니/ECD","1466"
"방법/NNG","237"
"는/ETD","7298"
"것/NNB","5772"
"ㄴ가요/EFQ","773"
"?/SF","5039"
"진짜/MAG","795"
"언제/MAG","269"
"고치/VV","840"
"냐/EFQ","474"
"아직/MAG","209"
"배경/NNG","205"
"검/VA","280"
"은/ETD","2071"
"바꾸/VV","372"
"ㄹ/ETD","5694"
"꺼/NNG","140"
"임/NNG","275"
"최악/NNG","112"
"어느새/MAG","1"
"인가/NNG","8"
"부터/JX","836"
"시청/NNG","690"
"시/NNG","275"
"처음/NNG","321"
"재생/NNG","1706"
"내가/NNG","169"
"어디/NP","116"
"까지/JX","634"
"더라/EFN","31"
"하/VV","7951"
"바르/VV","3"
"또/MAG","396"
"움직이/VV","26"
"어야/ECD","985"
"모델/NNG","29"
"명/NNG","12"
"10/NR","640"
"북/NNG","17"
"플렉스/NNG","43"
"전혀/MAG","109"
"안됨/NNG","385"
"얘기/NNG","38"
"이렇게/MAG","178"
"많/VA","1361"
"은데/ECD","1428"
"생각/NNG","374"
"을/JKO","3801"
"안하/NNG","29"
"네/XSN","112"
"검은색/NNG","70"
"때문/NNB","292"
"별/NNG","287"
"하나/NR","260"
"빨리/MAG","799"
"해결/NNG","783"
"부탁드리/VV","263"
"디자인/NNG","6"
